id,scene,resolution,budget,cap,rays,old_fp,new_fp,old_fn,new_fn,changed,new_mean_reads
201,contact,256,8,2,12480,0,0,0,0,0,7.810336538461539
208,contact,512,4,2,12480,0,0,0,0,0,6.763862179487179
209,contact,512,8,2,12480,0,0,0,0,0,9.183253205128205
218,far_sheet,64,4,2,12480,0,0,0,0,0,6.463782051282052
220,far_sheet,64,8,2,12480,0,0,0,0,0,6.741346153846154
230,far_sheet,128,4,2,12480,39,18,0,0,21,8.064022435897435
234,far_sheet,128,8,2,12480,18,18,0,0,0,9.560096153846153
246,far_sheet,256,4,2,12480,24,0,0,0,24,9.60360576923077
250,far_sheet,256,8,2,12480,9,0,0,0,9,12.371955128205128
262,far_sheet,512,4,2,12480,36,3,0,0,33,11.229567307692308
265,far_sheet,512,8,2,12480,9,3,0,0,6,15.165865384615385
272,thin_rod,64,4,2,12480,0,0,327,327,0,7.959695512820513
273,thin_rod,64,8,2,12480,0,0,327,327,0,9.25360576923077
278,thin_rod,128,4,2,12480,0,0,348,348,0,9.549198717948718
280,thin_rod,128,8,2,12480,0,0,348,348,0,12.05889423076923
286,thin_rod,256,4,2,12480,0,0,369,369,0,11.085096153846154
289,thin_rod,256,8,2,12480,0,0,369,369,0,14.833653846153846
296,thin_rod,512,4,2,12480,0,0,366,366,0,12.704246794871795
297,thin_rod,512,8,2,12480,0,0,366,366,0,17.62676282051282
302,disconnected,64,4,2,12480,600,600,0,0,0,1.2627403846153846
303,disconnected,64,8,2,12480,600,600,0,0,0,1.2911057692307693
308,disconnected,128,4,2,12480,426,426,54,54,0,2.366826923076923
310,disconnected,128,8,2,12480,0,0,147,147,0,2.3829326923076923
316,disconnected,256,4,2,12480,390,390,93,93,0,3.596394230769231
319,disconnected,256,8,2,12480,0,0,219,219,0,3.5587339743589745
326,disconnected,512,4,2,12480,414,405,96,96,9,5.25224358974359
327,disconnected,512,8,2,12480,30,30,93,93,0,5.37588141025641
332,overlap,64,4,2,12480,696,696,234,234,0,4.921794871794872
333,overlap,64,8,2,12480,696,696,234,234,0,5.605128205128205
338,overlap,128,4,2,12480,435,435,282,282,0,6.55625
340,overlap,128,8,2,12480,0,0,393,393,0,8.14911858974359
346,overlap,256,4,2,12480,420,414,288,288,6,8.001201923076923
349,overlap,256,8,2,12480,0,0,393,393,0,10.336778846153846
356,overlap,512,4,2,12480,438,438,246,249,3,9.60440705128205
357,overlap,512,8,2,12480,21,21,234,234,0,12.720032051282052
362,sloped_sheet,64,4,2,12480,0,0,0,0,0,1.0491987179487179
363,sloped_sheet,64,8,2,12480,0,0,0,0,0,1.0491987179487179
368,sloped_sheet,128,4,2,12480,0,0,0,0,0,1.6920673076923076
370,sloped_sheet,128,8,2,12480,0,0,0,0,0,1.6918269230769232
376,sloped_sheet,256,4,2,12480,0,0,0,0,0,3.212660256410256
379,sloped_sheet,256,8,2,12480,0,0,0,0,0,2.5919070512820515
386,sloped_sheet,512,4,2,12480,0,0,0,29,29,4.903205128205128
